,contentId,title,genre,content,imgUrl,contentRating,createdYear,type
0,100088,더 라스트 오브 어스,"['Drama', 'Action & Adventure']","정체불명의 팬데믹으로 인류 대다수가 죽거나 괴생명체가 되어버린 근미래,  황량해진 미국을 횡단하는 두 사람의 이야기를 다룬 포스트 아포칼립스물이다.",https://image.tmdb.org/t/p/w342/uKvVjHNqB5VmOrdxqAt2F7J78ED.jpg,8.8,2023-01-15,tv
1,213713,Faltu,['Drama'],,https://image.tmdb.org/t/p/w342/lgyFuoXs7GvKJN0mNm7z7OMOFuZ.jpg,4.1,2022-11-02,tv
2,130542,Bhagya Lakshmi,['Soap'],,https://image.tmdb.org/t/p/w342/7wuKrFvbX7kAIF0ctotARsqayPo.jpg,5.2,2021-08-03,tv
3,215103,तेरी मेरी डोरियाँ,"['Drama', 'Family']",,https://image.tmdb.org/t/p/w342/4BHDmYiuSnNL3nqKIOzLJKYX4AN.jpg,6.0,2023-01-04,tv
4,82856,만달로리안,"['Sci-Fi & Fantasy', 'Action & Adventure', 'Drama']","은하 제국이 붕괴한 후, 고독한 총잡이는 은하 외곽에서 현상금 사냥꾼 일을 하며 홀로 살아간다.",https://image.tmdb.org/t/p/w342/9wOTABT35GsYNHtmFnxbRYN9d24.jpg,8.5,2019-11-12,tv
5,197109,ये रिश्ता क्या कहलाता है,['Drama'],,https://image.tmdb.org/t/p/w342/6ZfiG4P7jivJV0wgcNMSiS2Owhh.jpg,4.9,2021-10-27,tv
6,111453,घुम है किसिकी प्यार में,"['Drama', 'Soap', 'Family']",,https://image.tmdb.org/t/p/w342/uNjnoT3RChs2r7O9pDyx7TNBvIj.jpg,5.6,2020-10-05,tv
7,113218,इमली,"['Drama', 'Soap', 'Family']",,https://image.tmdb.org/t/p/w342/brajFHvqeitbp7ifevWpFpirS4S.jpg,5.7,2020-11-16,tv
8,119051,웬즈데이,"['Sci-Fi & Fantasy', 'Mystery', 'Comedy']","똑똑하고 비꼬는 것에 도가 튼 웬즈데이 아담스. 암울함을 풍기는 그녀가 네버모어 아카데미에서 연쇄 살인 사건을 조사하기 시작한다. 새 친구도 사귀고, 앙숙도 만들며.",https://image.tmdb.org/t/p/w342/tNWCukAMubqisamYURvo5jw61As.jpg,8.6,2022-11-23,tv
9,209326,Rajjo,"['Family', 'Soap']",,https://image.tmdb.org/t/p/w342/rdNwXdMDVDvjOlcXCPOR3m9t43r.jpg,4.4,2022-08-22,tv
10,33238,런닝맨,"['Comedy', 'Reality']","대한민국 최고의 연예인들이 곳곳에 있는 미션을 해결하고, 끊임없는 질주와 긴박감 넘치는 대결을 통해 대한민국 랜드마크들의 숨겨진 뒷모습을 전격 공개하는 프로그램",https://image.tmdb.org/t/p/w342/ArntYxWZXArwegRh9IaOq2KD1JR.jpg,8.4,2010-07-11,tv
11,1416,그레이 아나토미,['Drama'],"시애틀에 있는 병원 의사들의 삶에 대한 이야기. 의사로서의 감정과 개인적인 감정에 대한 묘사가 적절히 조화를 이루어 그려진다. 인턴이지만 결국 레지던트가 되는 메러디스 그레이는 시애틀 병원의 동료 의사들과 함께 사적, 직업적인 열정에 휩쓸리는 자신을 발견한다.",https://image.tmdb.org/t/p/w342/clnyhPqj1SNgpAdeSS6a6fwE6Bo.jpg,8.3,2005-03-27,tv
12,20812,Való Világ,[],,https://image.tmdb.org/t/p/w342/kQ6EfC1igZRNSSsnQbLG2mrOLwj.jpg,2.9,2002-09-09,tv
13,44953,El señor de los cielos,"['Crime', 'Drama', 'Soap']",,https://image.tmdb.org/t/p/w342/Ag7VUdnrRz5Qpq3Yn3E5OCvFnu0.jpg,7.9,2013-04-15,tv
14,91759,愛·回家之開心速遞,"['Family', 'Comedy']",,https://image.tmdb.org/t/p/w342/lgD4j9gUGmMckZpWWRJjorWqGVT.jpg,3.4,2017-02-20,tv
15,46952,블랙리스트,"['Drama', 'Crime', 'Mystery']",FBI 10대 수배범에 올라가있는 거물 범죄 브로커 레이먼드 레딩턴이 어느날 갑자기 FBI 본부에 나타나 자수를 한다. 그러면서 레딩턴은 자신이 1급 범죄자들의 블랙리스트를 가지고 있다면서 사법거래를 요구하고 그 조건으로 FBI의 신참 프로파일러인 엘리자베스 킨하고만 이야기 하겠다고 요구한다. 한편 암에 걸린 양아버지를 두면서 남편과 함께 아기의 입양을 꿈꾸며 행복하게 살고 있던 엘리자베스의 삶은 레딩턴과의 만남과 우연히 발견하게 된 남편의 가짜 여권들을 통해 급변하게 되는데...,https://image.tmdb.org/t/p/w342/7WCNaek6zGlhum99TA63QmVPhox.jpg,7.6,2013-09-23,tv
16,153312,털사 킹,"['Crime', 'Drama']",오클라호마주 털사에서 이탈리아 마피아 가족을 재건해야 하는  놀라운 과제에 직면한 이탈리아 폭력배의 이야기.,https://image.tmdb.org/t/p/w342/e8M3uJPFEEubf9dL9r5TYnbD8Io.jpg,8.6,2022-11-13,tv
17,60735,플래시,"['Drama', 'Sci-Fi & Fantasy']",낙뢰 사고의 후유증으로 초인적인 스피드를 가지게 된 CSI 수사관 배리 앨런이 범죄에 맞서 싸우는 영웅 플래시로 활약하는 이야기를 그리는 드라마,https://image.tmdb.org/t/p/w342/lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg,7.8,2014-10-07,tv
18,456,심슨 가족,"['Family', 'Animation', 'Comedy']","1989년 12월 FOX에서 방영을 시작한 애니메이션. 미국의 스프링필드를 배경으로 먹는 걸 유난히 밝히고 게으르며 독특한 성격의 가장 호머, 항상 사고만 치고 다니는 남편과 아이들의 뒤치다꺼리를 도맡아 하는 엄마 마지, 하루라도 장난을 치지 않고 넘어가는 날이 없는 장난꾸러기 아들 바트, 나이에 비해 꽤나 어른스럽고 똑똑한 리사, 그리고 말은 한마디도 못하지만 의외의 대활약을 보여주는 막내 메기 등 각각의 개성 만점 가족 구성원들이 펼치는 극적인 하루하루를 그리고 있다.",https://image.tmdb.org/t/p/w342/sLTAEFtjentQ5satiGdmv7o2f1C.jpg,8.0,1989-12-17,tv
19,202250,Dirty Linen,"['Mystery', 'Drama']",,https://image.tmdb.org/t/p/w342/ujlkQtHAVShWyWTloGU2Vh5Jbo9.jpg,4.4,2023-01-23,tv
20,1402,워킹 데드,"['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']","2010년 10월 AMC에서 방영을 시작한 좀비 아포칼립스물. 조지아 주의 보안관 릭은 범인 검거 중에 총상을 입고 혼수상태에 빠진다. 어느 날 혼수 상태에서 깨어난 릭은 폐허가 되어 버린 세상이 좀비들로 뒤덮여 있는 것을 발견한다. 쇠약해진 몸으로 병원을 빠져나온 릭은 워커라고 불리는 좀비들을 피해 생존자를 찾아다니고, 마을의 생존자 모건 부자의 도움을 받아 건강을 회복한 후 아내 로리와 아들 칼을 찾으러 애틀랜타로 떠나지만, 릭을 반긴 것은 셀 수 없이 많은 워커 무리들. 간신히 전차 내부로 피신한 릭을 백화점에 숨어있던 생존자 일행이 도와서 겨우 전차에서 빠져나오는데...",https://image.tmdb.org/t/p/w342/xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg,8.1,2010-10-31,tv
21,65334,미라큘러스 레이디버그,"['Action & Adventure', 'Animation', 'Kids']","프랑스 파리를 배경으로, 백인 아버지와 중국인 어머니 사이에서 태어난 중국계 프랑스인 소녀, 마리네트 청이 ‘레이디버그’로 변신해 악당으로부터 파리를 지키는 내용이다.",https://image.tmdb.org/t/p/w342/evDCpiQqAvEnR14exVUqnbC0W3U.jpg,8.0,2015-10-19,tv
