contentReviewId,contentReviewUserId,contentId,title,content,userRating,createdAt,updatedAt
1,439,93,"영화93번 리뷰입니다.",재미있당.!!!,1,"2023-03-18 15:42:42","2023-03-18 15:42:42"
2,143,848,"영화848번 리뷰입니다.",재미있당.!!!,3.9,"2023-03-18 15:42:42","2023-03-18 15:42:42"
3,177,732,"영화732번 리뷰입니다.",재미있당.!!!,1.5,"2023-03-18 15:42:42","2023-03-18 15:42:42"
4,506,865,"영화865번 리뷰입니다.",재미있당.!!!,1.9,"2023-03-18 15:42:42","2023-03-18 15:42:42"
5,836,817,"영화817번 리뷰입니다.",재미있당.!!!,2.2,"2023-03-18 15:42:42","2023-03-18 15:42:42"
6,947,820,"영화820번 리뷰입니다.",재미있당.!!!,4.4,"2023-03-18 15:42:42","2023-03-18 15:42:42"
7,855,398,"영화398번 리뷰입니다.",재미있당.!!!,2.4,"2023-03-18 15:42:42","2023-03-18 15:42:42"
8,405,616,"영화616번 리뷰입니다.",재미있당.!!!,4.3,"2023-03-18 15:42:42","2023-03-18 15:42:42"
9,709,936,"영화936번 리뷰입니다.",재미있당.!!!,2.3,"2023-03-18 15:42:42","2023-03-18 15:42:42"
10,432,623,"영화623번 리뷰입니다.",재미있당.!!!,3.4,"2023-03-18 15:42:42","2023-03-18 15:42:42"
11,392,648,"영화648번 리뷰입니다.",재미있당.!!!,2.8,"2023-03-18 15:42:42","2023-03-18 15:42:42"
12,630,566,"영화566번 리뷰입니다.",재미있당.!!!,4.7,"2023-03-18 15:42:42","2023-03-18 15:42:42"
13,731,737,"영화737번 리뷰입니다.",재미있당.!!!,1.3,"2023-03-18 15:42:42","2023-03-18 15:42:42"
14,974,518,"영화518번 리뷰입니다.",재미있당.!!!,4.1,"2023-03-18 15:42:42","2023-03-18 15:42:42"
15,754,949,"영화949번 리뷰입니다.",재미있당.!!!,4.6,"2023-03-18 15:42:42","2023-03-18 15:42:42"
16,153,858,"영화858번 리뷰입니다.",재미있당.!!!,3.5,"2023-03-18 15:42:42","2023-03-18 15:42:42"
17,830,165,"영화165번 리뷰입니다.",재미있당.!!!,4.3,"2023-03-18 15:42:42","2023-03-18 15:42:42"
18,222,912,"영화912번 리뷰입니다.",재미있당.!!!,3.4,"2023-03-18 15:42:42","2023-03-18 15:42:42"
19,675,40,"영화40번 리뷰입니다.",재미있당.!!!,4.7,"2023-03-18 15:42:42","2023-03-18 15:42:42"
20,606,71,"영화71번 리뷰입니다.",재미있당.!!!,2.5,"2023-03-18 15:42:42","2023-03-18 15:42:42"
21,656,140,"영화140번 리뷰입니다.",재미있당.!!!,1.5,"2023-03-18 15:42:42","2023-03-18 15:42:42"
22,921,415,"영화415번 리뷰입니다.",재미있당.!!!,3.1,"2023-03-18 15:42:42","2023-03-18 15:42:42"
23,283,211,"영화211번 리뷰입니다.",재미있당.!!!,3.5,"2023-03-18 15:42:42","2023-03-18 15:42:42"
24,26,625,"영화625번 리뷰입니다.",재미있당.!!!,4.4,"2023-03-18 15:42:42","2023-03-18 15:42:42"
25,766,387,"영화387번 리뷰입니다.",재미있당.!!!,1.3,"2023-03-18 15:42:42","2023-03-18 15:42:42"
26,587,544,"영화544번 리뷰입니다.",재미있당.!!!,2.8,"2023-03-18 15:42:42","2023-03-18 15:42:42"
27,723,41,"영화41번 리뷰입니다.",재미있당.!!!,2.2,"2023-03-18 15:42:42","2023-03-18 15:42:42"
28,93,775,"영화775번 리뷰입니다.",재미있당.!!!,3,"2023-03-18 15:42:42","2023-03-18 15:42:42"
29,895,529,"영화529번 리뷰입니다.",재미있당.!!!,3.8,"2023-03-18 15:42:42","2023-03-18 15:42:42"
30,709,117,"영화117번 리뷰입니다.",재미있당.!!!,2.8,"2023-03-18 15:42:42","2023-03-18 15:42:42"
31,571,876,"영화876번 리뷰입니다.",재미있당.!!!,4.2,"2023-03-18 15:42:42","2023-03-18 15:42:42"
32,323,409,"영화409번 리뷰입니다.",재미있당.!!!,4.2,"2023-03-18 15:42:42","2023-03-18 15:42:42"
33,116,684,"영화684번 리뷰입니다.",재미있당.!!!,1.4,"2023-03-18 15:42:42","2023-03-18 15:42:42"
34,100,616,"영화616번 리뷰입니다.",재미있당.!!!,1.4,"2023-03-18 15:42:42","2023-03-18 15:42:42"
35,414,47,"영화47번 리뷰입니다.",재미있당.!!!,2.6,"2023-03-18 15:42:42","2023-03-18 15:42:42"
36,855,471,"영화471번 리뷰입니다.",재미있당.!!!,1.3,"2023-03-18 15:42:42","2023-03-18 15:42:42"
