,actorId,name,actorImgUrl,known,contentId
0,1253360,피터 파스칼,https://image.tmdb.org/t/p/w185/nms0d0ExYtiOke82oqr3vOb3smF.jpg,"['만달로리안', '더 라스트 오브 어스', '더 이퀄라이저 2']","[82856, 100088, 345887]"
1,58021,틴토 브라스,https://image.tmdb.org/t/p/w185/80Uuq79rcYL1FgBPHAEHzAACQFa.jpg,"['칼리귤라', '열쇠', '파프리카']","[9453, 28468, 50270]"
2,3194176,안젤리 캉,https://image.tmdb.org/t/p/w185/7vrTWF8PxQogF6o9ORZprYQoDOr.jpg,"['Silip Sa Apoy', ""Selina's Gold"", 'Eva']","[931599, 1029446, 893694]"
3,1907997,민도윤,https://image.tmdb.org/t/p/w185/bHHn3krbHyxQIWb4JbHkPlV6Uu1.jpg,"['여선생 3', '옆방에 일본여자가 싼다']","[685090, 725405]"
4,976,제이슨 스테이섬,https://image.tmdb.org/t/p/w185/lldeQ91GwIVff43JBrpdbAAeYWj.jpg,"['스내치', '메가로돈', '분노의 질주: 더 익스트림']","[107, 345940, 337339]"
5,974169,제나 오르테가,https://image.tmdb.org/t/p/w185/y24GIGVUydumoXidZVSgzWSclWZ.jpg,"['웬즈데이', 'X', '스크림']","[119051, 760104, 646385]"
6,31,톰 행크스,https://image.tmdb.org/t/p/w185/xndWFsBlClOJFRdhSt4NBwiPq2o.jpg,"['포레스트 검프', '토이 스토리', '그린 마일']","[13, 862, 497]"
7,1795607,자히 디알로 윈스턴,https://image.tmdb.org/t/p/w185/x13w2XYkCdjllsbrzyb1aKno27o.jpg,"['참 시티 킹스', '프라우드 메리', '업사이드']","[552532, 442064, 440472]"
8,2710789,승하,https://image.tmdb.org/t/p/w185/8dCFK8FDFQbYFZvzAE9IIeaDMKo.jpg,"['18금 아이돌 승하의 섹스 스캔들', '아이돌 승하의 19금 AV를 찍자', '18금 아이돌 승하의 화려한 외출']","[724106, 852370, 724108]"
9,224513,아나 데 아르마스,https://image.tmdb.org/t/p/w185/vkoSSVrGxFYvtr2uUdz99ENXF1v.jpg,"['블레이드 러너 2049', '나이브스 아웃', '워 독']","[335984, 546554, 308266]"
10,75341,게리 콜먼,https://image.tmdb.org/t/p/w185/77YIEd2tastsT3fjEraKOjCvgyD.jpg,"[""Diff'rent Strokes"", '못말리는 해결사', '심슨 가족']","[2410, 14577, 456]"
11,1642789,매들린 클라인,https://image.tmdb.org/t/p/w185/qUUfTmpZPhy4zIs8oVk7OINLQqu.jpg,"['나이브스 아웃: 글래스 어니언', '아우터 뱅크스', '보이 이레이즈드']","[661374, 100757, 472451]"
12,115440,시드니 스위니,https://image.tmdb.org/t/p/w185/afr2eoktU4lFYtmtfKo05EbQdXo.jpg,"['유포리아', '더 보이어즈', '원스 어폰 어 타임 인… 할리우드']","[85552, 645710, 466272]"
